,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,heures,hours
25,25,vont,will
26,26,pendant,while
27,27,aucune,any
28,28,place,square
29,29,parle,speak
30,30,compris,understood
31,31,savais,knew
32,32,étaient,were
33,33,attention,Warning
34,34,voici,here is
35,35,pourrais,could
36,36,affaire,case
37,37,donner,give
38,38,type,type
39,39,leurs,their
40,40,donné,given
41,41,train,train
42,42,corps,body
43,43,endroit,place
44,44,yeux,eyes
45,45,façon,way
46,46,écoute,listen
47,47,dont,whose
48,48,trouve,find
49,49,perdu,lost
50,50,main,hand
51,51,première,first
52,52,côté,side
53,53,pouvoir,power
54,54,vieux,old
55,55,sois,be
56,56,tiens,here
57,57,matin,morning
58,58,tellement,so much
59,59,enfant,child
60,60,point,point
61,61,venu,came
62,62,suite,after
63,63,pardon,sorry
64,64,venez,come
65,65,devant,in front of
66,66,vers,towards
67,67,minutes,minutes
68,68,demandé,request
69,69,chambre,bedroom
70,70,mis,placed
71,71,belle,beautiful
72,72,droit,law
73,73,aimerais,would like to
74,74,aujourd'hui,today
75,75,mari,husband
76,76,enfin,finally
77,77,eau,water
78,78,attendez,Wait
79,79,parti,left
80,80,nouvelle,new
81,81,boulot,job
82,82,arrêter,Stop
83,83,dirait,would say
84,84,compte,account
85,85,donne,given
86,86,loin,far
87,87,fin,end
88,88,croire,believe
89,89,chérie,sweetheart
90,90,gros,large
91,91,plutôt,rather
92,92,aura,will have
93,93,filles,girls
94,94,jouer,to play
